secid,date,spot_price,security_name
214684.0,2025-08-01,154.27,PLTR
214684.0,2025-08-04,160.66,PLTR
214684.0,2025-08-05,173.27,PLTR
214684.0,2025-08-06,179.54,PLTR
214684.0,2025-08-07,182.2,PLTR
214684.0,2025-08-08,186.96,PLTR
214684.0,2025-08-11,182.68,PLTR
214684.0,2025-08-12,186.97,PLTR
214684.0,2025-08-13,184.37,PLTR
214684.0,2025-08-14,181.02,PLTR
214684.0,2025-08-15,177.17,PLTR
214684.0,2025-08-18,174.03,PLTR
214684.0,2025-08-19,157.75,PLTR
214684.0,2025-08-20,156.01,PLTR
214684.0,2025-08-21,156.18,PLTR
214684.0,2025-08-22,158.74,PLTR
214684.0,2025-08-25,157.17,PLTR
214684.0,2025-08-26,160.87,PLTR
214684.0,2025-08-27,156.72,PLTR
214684.0,2025-08-28,158.12,PLTR
214684.0,2025-08-29,156.71,PLTR
