date,exdate,cp_flag,spot_price,strike_price,tau (time to maturity),market_mid_price,model_price,std_error,ci_95_lower,ci_95_upper,n_paths,n_steps,antithetic_used,abs_error,sq_error,scheme
2025-07-01,2025-08-01,P,2197.539,2010.0,0.084931506849315,9.0,8.890881558754684,0.3234041922934544,8.257020989410247,9.52474212809912,10000,252,True,0.10911844124531633,0.011906834219807552,monte_carlo
2025-07-01,2025-08-01,P,2197.539,2010.0,0.084931506849315,9.0,8.89578470219798,0.32350600697322107,8.261724579748103,9.529844824647858,10000,252,True,0.10421529780201944,0.010860828295963597,monte_carlo
2025-07-01,2025-08-01,C,2197.539,2220.0,0.084931506849315,47.5,47.519214753344045,0.7842143401595376,45.982182890471506,49.05624661621658,10000,252,True,0.019214753344044766,0.00036920674607247953,monte_carlo
2025-07-01,2025-08-01,C,2197.539,2220.0,0.084931506849315,47.5,47.49874958333046,0.7840577232692236,45.96202468392231,49.03547448273861,10000,252,True,0.001250416669542176,1.563541847468947e-06,monte_carlo
2025-07-01,2025-08-01,C,2197.539,2270.0,0.084931506849315,28.200000000000003,28.33698119782029,0.6057829711461602,27.14966839192615,29.52429400371443,10000,252,True,0.13698119782028684,0.018763848556280556,monte_carlo
2025-07-01,2025-08-01,C,2197.539,2270.0,0.084931506849315,28.200000000000003,28.322497172175108,0.6056292152343137,27.135485722330596,29.50950862201962,10000,252,True,0.12249717217510536,0.015005557190897408,monte_carlo
2025-07-01,2025-08-08,P,2197.539,1940.0,0.1041095890410958,6.65,6.651239355957613,0.2898285489968633,6.083185838232259,7.219292873682967,10000,252,True,0.001239355957612709,1.5360031896701147e-06,monte_carlo
2025-07-01,2025-08-08,P,2197.539,1940.0,0.1041095890410958,6.65,6.655393328402136,0.2899327876519425,6.087135506667029,7.2236511501372425,10000,252,True,0.005393328402135467,2.9087991253281105e-05,monte_carlo
2025-07-01,2025-08-08,P,2197.539,2090.0,0.1041095890410958,23.15,22.458258178728876,0.5384878307194303,21.40284142440569,23.513674933052062,10000,252,True,0.6917418212711226,0.47850674729548975,monte_carlo
2025-07-01,2025-08-08,P,2197.539,2090.0,0.1041095890410958,23.15,22.47123543844641,0.5386564524843223,21.415488191537026,23.526982685355794,10000,252,True,0.6787645615535887,0.46072133002103544,monte_carlo
2025-07-01,2025-08-08,C,2197.539,2290.0,0.1041095890410958,27.05,27.35949063885269,0.6234057163703292,26.137637887010452,28.58134339069493,10000,252,True,0.3094906388526901,0.09578445553744627,monte_carlo
2025-07-01,2025-08-08,C,2197.539,2290.0,0.1041095890410958,27.05,27.34327079865809,0.6232201306263431,26.12178178819011,28.56475980912607,10000,252,True,0.2932707986580887,0.0860077613455532,monte_carlo
2025-07-01,2025-08-08,C,2197.539,2340.0,0.1041095890410958,15.45,15.780232812974715,0.4673364172322136,14.864270266535593,16.69619535941384,10000,252,True,0.33023281297471563,0.1090537107651935,monte_carlo
2025-07-01,2025-08-08,C,2197.539,2340.0,0.1041095890410958,15.45,15.769496859376906,0.4671708043591547,14.853858908204355,16.685134810549457,10000,252,True,0.31949685937690653,0.10207824315170679,monte_carlo
2025-07-02,2025-08-15,P,2226.377,2200.0,0.1205479452054794,50.0,49.79208395853598,0.8254209600072312,48.174288604837336,51.40987931223463,10000,252,True,0.2079160414640171,0.04322908029806688,monte_carlo
2025-07-02,2025-08-15,P,2226.377,2200.0,0.1205479452054794,50.0,49.82181024216437,0.8256676642595583,48.203531357016324,51.44008912731241,10000,252,True,0.17818975783563218,0.03175158979752124,monte_carlo
2025-07-08,2025-08-15,P,2228.738,2130.0,0.1041095890410958,26.15,26.37874016142966,0.5956050664325245,25.211375682212328,27.546104640646995,10000,252,True,0.2287401614296627,0.052322061450868144,monte_carlo
2025-07-08,2025-08-15,P,2228.738,2130.0,0.1041095890410958,26.15,26.396458010711644,0.5958193563057802,25.228673531060476,27.564242490362812,10000,252,True,0.24645801071164541,0.06074155104394153,monte_carlo
2025-07-10,2025-08-15,P,2263.41,2010.0,0.0986301369863013,5.8,6.279414430691571,0.2782843623352733,5.733987103053741,6.824841758329402,10000,252,True,0.4794144306915715,0.22983819635532363,monte_carlo
2025-07-10,2025-08-15,P,2263.41,2010.0,0.0986301369863013,5.8,6.284835998497764,0.2784222599145224,5.73913839657105,6.830533600424477,10000,252,True,0.48483599849776393,0.23506594543932374,monte_carlo
2025-07-10,2025-08-15,C,2263.41,2190.0,0.0986301369863013,111.95,112.49134864191795,1.2335621704629152,110.07361121511958,114.90908606871632,10000,252,True,0.5413486419179492,0.29305835210640796,monte_carlo
2025-07-10,2025-08-15,C,2263.41,2190.0,0.0986301369863013,111.95,112.44108368064768,1.233359619421785,110.02374324659495,114.85842411470041,10000,252,True,0.4910836806476766,0.2411631813984692,monte_carlo
2025-07-10,2025-08-22,P,2263.41,1990.0,0.1178082191780822,7.15,7.280004828930185,0.31369682748355454,6.665170344997943,7.894839312862427,10000,252,True,0.1300048289301845,0.016901255545166537,monte_carlo
2025-07-10,2025-08-22,P,2263.41,1990.0,0.1178082191780822,7.15,7.286691974619456,0.31386374541081646,6.671530337561407,7.901853611677504,10000,252,True,0.13669197461945526,0.0186846959253658,monte_carlo
2025-07-10,2025-08-22,P,2263.41,2140.0,0.1178082191780822,22.65,22.363569184165257,0.5554719535476689,21.274864160789722,23.452274207540793,10000,252,True,0.2864308158347413,0.08204261225975548,monte_carlo
2025-07-10,2025-08-22,P,2263.41,2140.0,0.1178082191780822,22.65,22.383028958587577,0.5557339535916035,21.29381042456198,23.472247492613175,10000,252,True,0.2669710414124218,0.07127353695283303,monte_carlo
2025-07-10,2025-08-22,C,2263.41,2365.0,0.1178082191780822,28.1,27.888310348162136,0.6455140409106487,26.62312607646235,29.153494619861924,10000,252,True,0.21168965183786526,0.04481250869523661,monte_carlo
2025-07-10,2025-08-22,C,2263.41,2365.0,0.1178082191780822,28.1,27.863160054046766,0.6452192031881601,26.59855365366434,29.127766454429192,10000,252,True,0.23683994595323554,0.05609315999913153,monte_carlo
2025-07-10,2025-08-22,C,2263.41,2415.0,0.1178082191780822,16.5,16.489305550712114,0.4900534618065274,15.528818415072145,17.449792686352083,10000,252,True,0.010694449287885988,0.00011437124557116511,monte_carlo
2025-07-10,2025-08-22,C,2263.41,2415.0,0.1178082191780822,16.5,16.472358862451998,0.4897895985722752,15.512388889248008,17.432328835655987,10000,252,True,0.027641137548002348,0.0007640324849475852,monte_carlo
2025-07-14,2025-08-15,P,2249.729,2010.0,0.0876712328767123,6.9,7.3624151344603534,0.3043894491852598,6.765822776783259,7.959007492137448,10000,252,True,0.4624151344603531,0.21382775657798644,monte_carlo
2025-07-14,2025-08-15,P,2249.729,2010.0,0.0876712328767123,6.9,7.368571916483829,0.30453775763308827,6.771688879590387,7.96545495337727,10000,252,True,0.46857191648382823,0.2195596409173277,monte_carlo
2025-07-23,2025-09-19,P,2283.129,1950.0,0.1589041095890411,9.2,9.318418675619366,0.39013588928748427,8.553766383539392,10.08307096769934,10000,252,True,0.11841867561936681,0.01402298273544482,monte_carlo
2025-07-23,2025-09-19,P,2283.129,1950.0,0.1589041095890411,9.2,9.330274835675166,0.39042799231942604,8.56505003217281,10.095499639177522,10000,252,True,0.1302748356751664,0.01697153281019161,monte_carlo
2025-07-23,2025-09-19,P,2283.129,2010.0,0.1589041095890411,13.05,12.960893130378095,0.46347811189493426,12.052492723441398,13.86929353731479,10000,252,True,0.08910686962190617,0.007940034213815384,monte_carlo
2025-07-23,2025-09-19,P,2283.129,2010.0,0.1589041095890411,13.05,12.977572091798118,0.4638181614780254,12.068505199925605,13.88663898367063,10000,252,True,0.07242790820188283,0.005245801886500366,monte_carlo
2025-07-24,2025-09-19,P,2252.133,1950.0,0.1561643835616438,10.0,10.182515115028405,0.4036790663733991,9.391318683623789,10.973711546433021,10000,252,True,0.182515115028405,0.03331176721383191,monte_carlo
2025-07-24,2025-09-19,P,2252.133,1950.0,0.1561643835616438,10.0,10.195875234446866,0.40398830138753633,9.404072713551782,10.98767775534195,10000,252,True,0.1958752344468664,0.03836710746961487,monte_carlo
2025-07-28,2025-08-29,C,2256.727,2335.0,0.0876712328767123,25.049999999999997,24.99171818263323,0.5560473806577924,23.901885342846125,26.08155102242034,10000,252,True,0.05828181736676541,0.003396770235572998,monte_carlo
2025-07-28,2025-08-29,C,2256.727,2335.0,0.0876712328767123,25.049999999999997,24.965195421071996,0.5557501231427028,23.8759451953086,26.054445646835394,10000,252,True,0.08480457892800075,0.007191816607155509,monte_carlo
2025-07-28,2025-08-29,C,2256.727,2415.0,0.0876712328767123,8.45,8.592514824336458,0.3144955065357543,7.976114958226699,9.208914690446218,10000,252,True,0.1425148243364589,0.02031047515565174,monte_carlo
2025-07-28,2025-08-29,C,2256.727,2415.0,0.0876712328767123,8.45,8.580928159630355,0.3142653484412772,7.964979395096521,9.19687692416419,10000,252,True,0.13092815963035598,0.017142182984191977,monte_carlo
2025-07-30,2025-09-19,P,2232.396,2100.0,0.1397260273972602,27.4,26.650396030175237,0.641172270266364,25.393721472567382,27.907070587783092,10000,252,True,0.7496039698247614,0.5619061115770418,monte_carlo
2025-07-30,2025-09-19,P,2232.396,2100.0,0.1397260273972602,27.4,26.68382330890685,0.6416093335618686,25.42629212298084,27.941354494832858,10000,252,True,0.7161766910931497,0.5129090528651328,monte_carlo
2025-07-31,2025-09-19,P,2211.649,2200.0,0.136986301369863,63.25,60.269280648663056,0.9373866855291788,58.43203650543849,62.10652479188762,10000,252,True,2.980719351336944,8.884687851434533,monte_carlo
2025-07-31,2025-09-19,P,2211.649,2200.0,0.136986301369863,63.25,60.33601070094509,0.9378944108505044,58.49777143437669,62.17424996751349,10000,252,True,2.9139892990549114,8.491333635006534,monte_carlo
2025-08-01,2025-09-12,P,2166.78,1920.0,0.1150684931506849,13.85,13.361819634281748,0.45776822782559007,12.464610394476864,14.259028874086631,10000,252,True,0.48818036571825196,0.23832006947280623,monte_carlo
2025-08-01,2025-09-12,P,2166.78,1920.0,0.1150684931506849,13.85,13.375608875095647,0.4580345812959431,12.477877592081715,14.27334015810958,10000,252,True,0.4743911249043524,0.2250469393880169,monte_carlo
2025-08-01,2025-09-12,P,2166.78,2060.0,0.1150684931506849,34.8,33.21743227574185,0.7169018191103774,31.812330529834263,34.622534021649436,10000,252,True,1.5825677242581477,2.5045206018636126,monte_carlo
2025-08-01,2025-09-12,P,2166.78,2060.0,0.1150684931506849,34.8,33.249748210233236,0.7172742568563109,31.843916499757135,34.655579920709336,10000,252,True,1.5502517897667616,2.4032806116750476,monte_carlo
2025-08-01,2025-09-12,C,2166.78,2290.0,0.1150684931506849,22.299999999999997,23.214073573808694,0.5937046249186261,22.050433891513325,24.377713256104062,10000,252,True,0.9140735738086967,0.8355304983354028,monte_carlo
2025-08-01,2025-09-12,C,2166.78,2290.0,0.1150684931506849,22.299999999999997,23.1853849715041,0.5933271479021177,22.02248513056608,24.34828481244212,10000,252,True,0.8853849715041022,0.7839065477653199,monte_carlo
2025-08-01,2025-09-12,C,2166.78,2340.0,0.1150684931506849,12.5,13.212876719357087,0.43837951387742635,12.353668660597155,14.07208477811702,10000,252,True,0.7128767193570873,0.5081932170013234,monte_carlo
2025-08-01,2025-09-12,C,2166.78,2340.0,0.1150684931506849,12.5,13.19422052575778,0.4380500787503664,12.335658147982127,14.052782903533434,10000,252,True,0.69422052575778,0.48194213838340855,monte_carlo
