date,exdate,cp_flag,spot_price,strike_price,tau (time to maturity),market_mid_price,model_price,abs_error,sq_error,scheme,error_message
2025-07-01,2025-08-01,C,300.71,225.0,0.084931506849315,79.875,,,,explicit,"Explicit scheme may be unstable with the current grid. Computed stability value = 1.044915, which exceeds 1.0. Try increasing N_t or decreasing N_S / enlarging the time resolution."
2025-07-01,2025-08-01,C,300.71,225.0,0.084931506849315,79.875,,,,explicit,"Explicit scheme may be unstable with the current grid. Computed stability value = 1.044915, which exceeds 1.0. Try increasing N_t or decreasing N_S / enlarging the time resolution."
2025-07-01,2025-08-01,P,300.71,225.0,0.084931506849315,2.255,2.249394113961668,0.0056058860383316755,3.142595827476201e-05,explicit,
2025-07-01,2025-08-01,P,300.71,225.0,0.084931506849315,2.255,2.250322958189741,0.004677041810258853,2.187472009490941e-05,explicit,
2025-07-01,2025-08-01,P,300.71,230.0,0.084931506849315,2.5999999999999996,2.5416665840718213,0.05833341592817831,0.003402787413849847,explicit,
2025-07-01,2025-08-01,P,300.71,230.0,0.084931506849315,2.5999999999999996,2.542728174796434,0.05727182520356555,0.0032800619621477663,explicit,
2025-07-01,2025-08-01,P,300.71,235.0,0.084931506849315,3.0149999999999997,3.1335463134828268,0.11854631348282707,0.014053228440368708,explicit,
2025-07-01,2025-08-01,P,300.71,235.0,0.084931506849315,3.0149999999999997,3.1348411928456774,0.11984119284567774,0.01436191150267492,explicit,
2025-07-01,2025-08-01,P,300.71,240.0,0.084931506849315,3.5,3.5329638411637045,0.032963841163704544,0.001086614824265942,explicit,
2025-07-01,2025-08-01,P,300.71,240.0,0.084931506849315,3.5,3.534423799311272,0.03442379931127215,0.0011849979590227411,explicit,
2025-07-01,2025-08-01,P,300.71,245.0,0.084931506849315,4.1,3.987286307558002,0.1127136924419978,0.012704376463909272,explicit,
2025-07-01,2025-08-01,P,300.71,245.0,0.084931506849315,4.1,3.988924110099595,0.11107588990040451,0.012337853317166785,explicit,
2025-07-01,2025-08-01,P,300.71,250.0,0.084931506849315,4.8,4.86225364249091,0.062253642490910366,0.0038755160033860808,explicit,
2025-07-01,2025-08-01,P,300.71,250.0,0.084931506849315,4.8,4.864198856501974,0.06419885650197443,0.004121493176161105,explicit,
2025-07-01,2025-08-01,P,300.71,255.0,0.084931506849315,5.625,5.463465290097255,0.1615347099027451,0.026093462503364015,explicit,
2025-07-01,2025-08-01,P,300.71,255.0,0.084931506849315,5.625,5.465621895522318,0.15937810447768186,0.025401380186898873,explicit,
2025-07-01,2025-08-01,P,300.71,260.0,0.084931506849315,6.575,6.59037176815675,0.015371768156749788,0.00023629125626486677,explicit,
2025-07-01,2025-08-01,P,300.71,260.0,0.084931506849315,6.575,6.592889217782073,0.01788921778207264,0.000320024112854424,explicit,
