date,exdate,cp_flag,spot_price,strike_price,tau (time to maturity),market_mid_price,model_price,std_error,ci_95_lower,ci_95_upper,n_paths,n_steps,antithetic_used,abs_error,sq_error,scheme
2025-07-01,2025-08-01,C,300.71,225.0,0.084931506849315,79.875,79.80211153695546,0.6838135553389408,78.46186159635086,81.14236147756007,10000,252,True,0.072888463044535,0.005312728044994545,monte_carlo
2025-07-01,2025-08-01,C,300.71,225.0,0.084931506849315,79.875,79.79803896415444,0.6838063025473758,78.45780323876009,81.1382746895488,10000,252,True,0.07696103584555658,0.005923001038421045,monte_carlo
2025-07-01,2025-08-01,P,300.71,225.0,0.084931506849315,2.255,2.275053064319746,0.08692626908491405,2.1046807076028773,2.445425421036615,10000,252,True,0.020053064319746294,0.0004021253886118819,monte_carlo
2025-07-01,2025-08-01,P,300.71,225.0,0.084931506849315,2.255,2.2755360838462897,0.08693729080123778,2.105142124962378,2.4459300427302013,10000,252,True,0.0205360838462898,0.0004217307397418448,monte_carlo
2025-07-01,2025-08-01,P,300.71,230.0,0.084931506849315,2.5999999999999996,2.607779318909076,0.0937959053892252,2.423942722448868,2.7916159153692837,10000,252,True,0.007779318909076238,6.051780268911111e-05,monte_carlo
2025-07-01,2025-08-01,P,300.71,230.0,0.084931506849315,2.5999999999999996,2.608333531789868,0.09380770583064062,2.4244738068894844,2.792193256690252,10000,252,True,0.008333531789868509,6.944775209274904e-05,monte_carlo
2025-07-01,2025-08-01,P,300.71,235.0,0.084931506849315,3.0149999999999997,3.0101569755431803,0.10151710542389139,2.8111871050975976,3.209126845988763,10000,252,True,0.004843024456819389,2.345488588935074e-05,monte_carlo
2025-07-01,2025-08-01,P,300.71,235.0,0.084931506849315,3.0149999999999997,3.0108036406875267,0.10152972584898919,2.8118090346632827,3.2097982467117707,10000,252,True,0.004196359312472975,1.760943147937866e-05,monte_carlo
2025-07-01,2025-08-01,P,300.71,240.0,0.084931506849315,3.5,3.483982786149562,0.10990934061336059,3.26856443698283,3.699401135316294,10000,252,True,0.016017213850437972,0.000256551139530662,monte_carlo
2025-07-01,2025-08-01,P,300.71,240.0,0.084931506849315,3.5,3.484727327813022,0.10992285267993016,3.269282495482457,3.700172160143587,10000,252,True,0.015272672186978031,0.00023325451573089233,monte_carlo
2025-07-01,2025-08-01,P,300.71,245.0,0.084931506849315,4.1,4.069807523384354,0.11961797032271868,3.835360609648044,4.3042544371206635,10000,252,True,0.030192476615646058,0.0009115856441863341,monte_carlo
2025-07-01,2025-08-01,P,300.71,245.0,0.084931506849315,4.1,4.070669291555516,0.11963242938309689,3.836194038581615,4.305144544529417,10000,252,True,0.029330708444483378,0.0008602904578552885,monte_carlo
2025-07-01,2025-08-01,P,300.71,250.0,0.084931506849315,4.8,4.756463069422988,0.1301142322271081,4.501443860381776,5.011482278464201,10000,252,True,0.04353693057701147,0.001895464324067516,monte_carlo
2025-07-01,2025-08-01,P,300.71,250.0,0.084931506849315,4.8,4.757460080096194,0.13012965453854894,4.5024106438799985,5.012509516312389,10000,252,True,0.04253991990380612,0.0018096447854222403,monte_carlo
2025-07-01,2025-08-01,P,300.71,255.0,0.084931506849315,5.625,5.560291985812955,0.14160954132673076,5.282742384945326,5.837841586680584,10000,252,True,0.06470801418704486,0.0041871271000307984,monte_carlo
2025-07-01,2025-08-01,P,300.71,255.0,0.084931506849315,5.625,5.561426863061368,0.14162597469083582,5.283845053391949,5.839008672730787,10000,252,True,0.06357313693863187,0.0040415437402180395,monte_carlo
