date,exdate,cp_flag,spot_price,strike_price,tau (time to maturity),market_mid_price,model_price,abs_error,sq_error,scheme
2025-07-01,2025-08-01,C,300.71,225.0,0.084931506849315,79.875,78.84503307553732,1.0299669244626841,1.0608318654871205,implicit
2025-07-01,2025-08-01,C,300.71,225.0,0.084931506849315,79.875,78.83530510873786,1.039694891262144,1.0809654669166013,implicit
2025-07-01,2025-08-01,P,300.71,225.0,0.084931506849315,2.255,2.2518772704565313,0.003122729543468594,9.751439801651574e-06,implicit
2025-07-01,2025-08-01,P,300.71,225.0,0.084931506849315,2.255,2.2528069681012677,0.0021930318987322117,4.809388908857009e-06,implicit
2025-07-01,2025-08-01,P,300.71,230.0,0.084931506849315,2.5999999999999996,2.543832434359537,0.05616756564046277,0.0031547954299756937,implicit
2025-07-01,2025-08-01,P,300.71,230.0,0.084931506849315,2.5999999999999996,2.544894784664878,0.05510521533512147,0.0030365847571301066,implicit
2025-07-01,2025-08-01,P,300.71,235.0,0.084931506849315,3.0149999999999997,3.1351705192500865,0.12017051925008682,0.014440953696835486,implicit
2025-07-01,2025-08-01,P,300.71,235.0,0.084931506849315,3.0149999999999997,3.1364660214569993,0.12146602145699958,0.014753994368592283,implicit
2025-07-01,2025-08-01,P,300.71,240.0,0.084931506849315,3.5,3.534153472413715,0.034153472413715136,0.0011664596779144007,implicit
2025-07-01,2025-08-01,P,300.71,240.0,0.084931506849315,3.5,3.5356139517047627,0.03561395170476267,0.0012683535560291679,implicit
2025-07-01,2025-08-01,P,300.71,245.0,0.084931506849315,4.1,3.9879985760373335,0.1120014239626661,0.012544318969664877,implicit
2025-07-01,2025-08-01,P,300.71,245.0,0.084931506849315,4.1,3.9896367956175887,0.11036320438241098,0.01218003688155382,implicit
2025-07-01,2025-08-01,P,300.71,250.0,0.084931506849315,4.8,4.862197538452738,0.06219753845273779,0.0038685337895797956,implicit
2025-07-01,2025-08-01,P,300.71,250.0,0.084931506849315,4.8,4.864143040534116,0.06414304053411612,0.004114329648961264,implicit
2025-07-01,2025-08-01,P,300.71,255.0,0.084931506849315,5.625,5.462848948819868,0.16215105118013184,0.026292963398821735,implicit
2025-07-01,2025-08-01,P,300.71,255.0,0.084931506849315,5.625,5.465005748271512,0.15999425172848802,0.025598160586158793,implicit
2025-07-01,2025-08-01,P,300.71,260.0,0.084931506849315,6.575,6.588902987123333,0.013902987123333155,0.00019329305095156752,implicit
2025-07-01,2025-08-01,P,300.71,260.0,0.084931506849315,6.575,6.591420536039064,0.016420536039063904,0.0002696340038101965,implicit
2025-07-01,2025-08-01,P,300.71,265.0,0.084931506849315,7.7,7.88958273322788,0.18958273322787988,0.035941612738153474,implicit
2025-07-01,2025-08-01,P,300.71,265.0,0.084931506849315,7.7,7.892491172410458,0.19249117241045788,0.03705285145595262,implicit
2025-07-01,2025-08-01,P,300.71,270.0,0.084931506849315,9.0,8.771807305060287,0.22819269493971284,0.05207190602384885,implicit
2025-07-01,2025-08-01,P,300.71,270.0,0.084931506849315,9.0,8.775069977554129,0.22493002244587146,0.05059351499750024,implicit
2025-07-01,2025-08-01,P,300.71,275.0,0.084931506849315,10.425,10.379937619225974,0.04506238077402713,0.0020306181610234104,implicit
2025-07-01,2025-08-01,P,300.71,275.0,0.084931506849315,10.425,10.383642344752115,0.041357655247885816,0.0017104556476029772,implicit
2025-07-01,2025-08-01,C,300.71,280.0,0.084931506849315,34.974999999999994,34.235452980136216,0.7395470198637781,0.5469297945893955,implicit
2025-07-01,2025-08-01,C,300.71,280.0,0.084931506849315,34.974999999999994,34.22766637099598,0.7473336290040109,0.5585075530403046,implicit
2025-07-01,2025-08-01,P,300.71,280.0,0.084931506849315,12.075,12.181188880451256,0.1061888804512563,0.011276078331491201,implicit
2025-07-01,2025-08-01,P,300.71,280.0,0.084931506849315,12.075,12.18535579666942,0.11035579666942041,0.012178401858542461,implicit
2025-07-01,2025-08-01,P,300.71,285.0,0.084931506849315,13.875,14.188183488993664,0.3131834889936638,0.09808389777824432,implicit
2025-07-01,2025-08-01,P,300.71,285.0,0.084931506849315,13.875,14.192834277853953,0.3178342778539527,0.1010186281789436,implicit
2025-07-01,2025-08-01,P,300.71,290.0,0.084931506849315,15.925,15.495348304363269,0.429651695636732,0.184600579563519,implicit
2025-07-01,2025-08-01,P,300.71,290.0,0.084931506849315,15.925,15.50041134841733,0.42458865158267045,0.18027552305279032,implicit
2025-07-01,2025-08-01,C,300.71,295.0,0.084931506849315,26.075,25.88493329773342,0.19006670226658073,0.03612535131049305,implicit
2025-07-01,2025-08-01,C,300.71,295.0,0.084931506849315,26.075,25.87810077589978,0.19689922410021765,0.03876930445126773,implicit
2025-07-01,2025-08-01,P,300.71,295.0,0.084931506849315,18.125,17.833998902923838,0.29100109707616184,0.08468163849952977,implicit
2025-07-01,2025-08-01,P,300.71,295.0,0.084931506849315,18.125,17.839568086413674,0.2854319135863257,0.0814713772935517,implicit
2025-07-01,2025-08-01,C,300.71,300.0,0.084931506849315,23.525,23.16409330396146,0.360906696038537,0.1302536432454529,implicit
2025-07-01,2025-08-01,C,300.71,300.0,0.084931506849315,23.525,23.157664104176618,0.36733589582338055,0.1349356603603655,implicit
2025-07-01,2025-08-01,P,300.71,300.0,0.084931506849315,20.55,20.364047849562336,0.18595215043766444,0.03457820225239179,implicit
2025-07-01,2025-08-01,P,300.71,300.0,0.084931506849315,20.55,20.370127546107017,0.17987245389298323,0.032354099669483376,implicit
2025-07-01,2025-08-01,C,300.71,305.0,0.084931506849315,21.125,20.592760337494013,0.5322396625059866,0.2832790583444866,implicit
2025-07-01,2025-08-01,C,300.71,305.0,0.084931506849315,21.125,20.58684890915376,0.5381510908462417,0.2896065965789999,implicit
2025-07-01,2025-08-01,P,300.71,305.0,0.084931506849315,23.175,23.65820347819825,0.4832034781982486,0.23348560134288532,implicit
2025-07-01,2025-08-01,P,300.71,305.0,0.084931506849315,23.175,23.66282929478433,0.4878292947843299,0.23797742084977663,implicit
2025-07-01,2025-08-01,C,300.71,310.0,0.084931506849315,18.975,18.419270343837656,0.5557296561623453,0.3088354507383185,implicit
2025-07-01,2025-08-01,C,300.71,310.0,0.084931506849315,18.975,18.413751708697525,0.5612482913024763,0.3149996444899493,implicit
2025-07-01,2025-08-01,P,300.71,310.0,0.084931506849315,25.975,25.834004563848644,0.140995436151357,0.01987971301551139,implicit
2025-07-01,2025-08-01,P,300.71,310.0,0.084931506849315,25.975,25.838911788650236,0.13608821134976523,0.01852000126837837,implicit
2025-07-01,2025-08-01,C,300.71,315.0,0.084931506849315,16.975,16.723995268357747,0.25100473164225434,0.06300337530680011,implicit
2025-07-01,2025-08-01,C,300.71,315.0,0.084931506849315,16.975,16.72070005874006,0.2542999412599407,0.0646684601248093,implicit
2025-07-01,2025-08-01,P,300.71,315.0,0.084931506849315,29.0,28.305985451813623,0.6940145481863773,0.48165619309434143,implicit
2025-07-01,2025-08-01,P,300.71,315.0,0.084931506849315,29.0,28.31122029459476,0.6887797054052385,0.4744174825781271,implicit
2025-07-01,2025-08-01,C,300.71,320.0,0.084931506849315,15.175,15.280097336400082,0.10509733640008179,0.011045450118391956,implicit
2025-07-01,2025-08-01,C,300.71,320.0,0.084931506849315,15.175,15.27696894253042,0.10196894253041933,0.01039766524077196,implicit
2025-07-01,2025-08-01,P,300.71,320.0,0.084931506849315,32.2,32.410738006234055,0.21073800623405248,0.044410507271503544,implicit
2025-07-01,2025-08-01,P,300.71,320.0,0.084931506849315,32.2,32.416466405975655,0.2164664059756518,0.04685770491601571,implicit
2025-07-01,2025-08-01,C,300.71,325.0,0.084931506849315,13.525,13.897025579648687,0.3720255796486871,0.13840303191294162,implicit
2025-07-01,2025-08-01,C,300.71,325.0,0.084931506849315,13.525,13.894095414793934,0.36909541479393404,0.13623142522190623,implicit
2025-07-01,2025-08-01,C,300.71,330.0,0.084931506849315,12.075,11.653149028410846,0.4218509715891532,0.17795824223071252,implicit
2025-07-01,2025-08-01,C,300.71,330.0,0.084931506849315,12.075,11.650536655523505,0.4244633444764947,0.1801691308041714,implicit
2025-07-01,2025-08-01,C,300.71,335.0,0.084931506849315,10.725,10.464157444767679,0.2608425552323208,0.06803883862012633,implicit
2025-07-01,2025-08-01,C,300.71,335.0,0.084931506849315,10.725,10.461745231889912,0.2632547681100874,0.0693030729326959,implicit
2025-07-01,2025-08-01,C,300.71,340.0,0.084931506849315,9.55,9.34564226034551,0.20435773965449044,0.0417620857566925,implicit
2025-07-01,2025-08-01,C,300.71,340.0,0.084931506849315,9.55,9.343408242571744,0.20659175742825653,0.042680154237295584,implicit
2025-07-01,2025-08-01,C,300.71,345.0,0.084931506849315,8.5,8.306291645824743,0.1937083541752571,0.03752292647728685,implicit
2025-07-01,2025-08-01,C,300.71,345.0,0.084931506849315,8.5,8.304255862283537,0.19574413771646348,0.038315767450361825,implicit
2025-07-01,2025-08-01,C,300.71,350.0,0.084931506849315,7.575,7.3459037523559845,0.2290962476440157,0.05248509068456817,implicit
2025-07-01,2025-08-01,C,300.71,350.0,0.084931506849315,7.575,7.344039697721717,0.2309603022782829,0.05334266122847581,implicit
2025-07-01,2025-08-01,C,300.71,355.0,0.084931506849315,6.75,6.467901340321488,0.2820986596785122,0.07957965379241305,implicit
2025-07-01,2025-08-01,C,300.71,355.0,0.084931506849315,6.75,6.466222570927065,0.28377742907293513,0.08052962925124472,implicit
2025-07-01,2025-08-01,C,300.71,360.0,0.084931506849315,6.025,6.256843087143965,0.2318430871439645,0.05375121705644392,implicit
2025-07-01,2025-08-01,C,300.71,360.0,0.084931506849315,6.025,6.25520537982314,0.23020537982313982,0.05299451689951607,implicit
2025-07-01,2025-08-01,C,300.71,365.0,0.084931506849315,5.375,5.482270705443381,0.1072707054433808,0.011507004246320568,implicit
2025-07-01,2025-08-01,C,300.71,365.0,0.084931506849315,5.375,5.480805731296789,0.10580573129678861,0.011194852775248232,implicit
2025-07-01,2025-08-01,C,300.71,370.0,0.084931506849315,4.8,4.777908323117455,0.022091676882545208,0.00048804218748278234,implicit
