date,exdate,cp_flag,spot_price,strike_price,tau (time to maturity),market_mid_price,model_price,abs_error,sq_error,scheme
2025-07-01,2025-08-01,P,130.68,100.0,0.084931506849315,0.86,1.0408419698645655,0.18084196986456547,0.032703818064496404,hundsdorfer_verwer
2025-07-01,2025-08-01,P,130.68,100.0,0.084931506849315,0.86,1.0410791418105902,0.18107914181059026,0.03278965559885986,hundsdorfer_verwer
2025-07-01,2025-08-01,P,130.68,105.0,0.084931506849315,1.205,1.727140840077526,0.522140840077526,0.2726310568768646,hundsdorfer_verwer
2025-07-01,2025-08-01,P,130.68,105.0,0.084931506849315,1.205,1.7275033933702217,0.5225033933702217,0.2730097960833966,hundsdorfer_verwer
2025-07-01,2025-08-01,C,130.68,110.0,0.084931506849315,23.075,23.717139921334027,0.642139921334028,0.4123436785708716,hundsdorfer_verwer
2025-07-01,2025-08-01,C,130.68,110.0,0.084931506849315,23.075,23.71539179938202,0.6403917993820194,0.41010165671574056,hundsdorfer_verwer
2025-07-01,2025-08-01,P,130.68,110.0,0.084931506849315,1.805,2.69661362559283,0.8916136255928302,0.7949748573427916,hundsdorfer_verwer
2025-07-01,2025-08-01,P,130.68,110.0,0.084931506849315,1.805,2.697135179107331,0.8921351791073311,0.7959051778008697,hundsdorfer_verwer
2025-07-01,2025-08-01,P,130.68,115.0,0.084931506849315,2.655,3.9944326377901946,1.3394326377901948,1.7940797911775992,hundsdorfer_verwer
2025-07-01,2025-08-01,P,130.68,115.0,0.084931506849315,2.655,3.995145060044023,1.3401450600440232,1.7959887819603986,hundsdorfer_verwer
2025-07-01,2025-08-01,C,130.68,120.0,0.084931506849315,15.175,16.719487615076225,1.5444876150762248,2.3854419931238446,hundsdorfer_verwer
2025-07-01,2025-08-01,C,130.68,120.0,0.084931506849315,15.175,16.71793810399711,1.542938103997109,2.380657992766194,hundsdorfer_verwer
2025-07-01,2025-08-01,P,130.68,120.0,0.084931506849315,3.925,5.656110125832391,1.7311101258323909,2.996742267759436,hundsdorfer_verwer
2025-07-01,2025-08-01,P,130.68,120.0,0.084931506849315,3.925,5.65704054927653,1.7320405492765305,2.9999644643381456,hundsdorfer_verwer
2025-07-01,2025-08-01,P,130.68,123.0,0.084931506849315,4.9,6.829456450553636,1.9294564505536353,3.722802194583033,hundsdorfer_verwer
2025-07-01,2025-08-01,P,130.68,123.0,0.084931506849315,4.9,6.830527813042664,1.930527813042664,3.7269376369312908,hundsdorfer_verwer
2025-07-01,2025-08-01,P,130.68,124.0,0.084931506849315,5.175,7.2613143682600025,2.0863143682600027,4.352707643208134,hundsdorfer_verwer
2025-07-01,2025-08-01,P,130.68,124.0,0.084931506849315,5.175,7.262434524016529,2.087434524016529,4.357382892056112,hundsdorfer_verwer
2025-07-01,2025-08-01,P,130.68,125.0,0.084931506849315,5.55,7.693172285966359,2.143172285966359,4.593187447334269,hundsdorfer_verwer
2025-07-01,2025-08-01,P,130.68,125.0,0.084931506849315,5.55,7.694341234990394,2.144341234990394,4.598199332080129,hundsdorfer_verwer
2025-07-01,2025-08-01,P,130.68,126.0,0.084931506849315,6.050000000000001,8.139295212195261,2.0892952121952604,4.365154483702038,hundsdorfer_verwer
2025-07-01,2025-08-01,P,130.68,126.0,0.084931506849315,6.050000000000001,8.140513402599575,2.0905134025995746,4.3702462864484515,hundsdorfer_verwer
2025-07-01,2025-08-01,P,130.68,127.0,0.084931506849315,6.375,8.621643079421379,2.2466430794213785,5.047405126311975,hundsdorfer_verwer
2025-07-01,2025-08-01,P,130.68,127.0,0.084931506849315,6.375,8.622911649155395,2.2479116491553945,5.053106782408525,hundsdorfer_verwer
2025-07-01,2025-08-01,P,130.68,128.0,0.084931506849315,6.825,9.103990946647496,2.278990946647496,5.1937997349012495,hundsdorfer_verwer
