date,exdate,cp_flag,spot_price,strike_price,tau (time to maturity),market_mid_price,model_price,scheme,lambda_jump,jump_mean,jump_std,abs_error,sq_error
2025-08-18,2025-09-19,P,6449.15,5650.0,0.0876712328767123,6.199999999999999,7.414395437618961,imex_euler,0.01,-0.005,0.03,1.214395437618962,1.4747562789097504
2025-08-18,2025-09-19,P,6449.15,5650.0,0.0876712328767123,6.199999999999999,7.435319161800151,imex_euler,0.01,-0.005,0.03,1.2353191618001516,1.526013431510629
2025-08-18,2025-09-19,P,6449.15,5675.0,0.0876712328767123,6.5,7.74306275533384,imex_euler,0.01,-0.005,0.03,1.24306275533384,1.5452050136981583
2025-08-18,2025-09-19,P,6449.15,5675.0,0.0876712328767123,6.5,7.763918158480741,imex_euler,0.01,-0.005,0.03,1.2639181584807408,1.597489111337347
2025-08-18,2025-09-19,P,6449.15,5700.0,0.0876712328767123,6.800000000000001,8.047964325996428,imex_euler,0.01,-0.005,0.03,1.2479643259964277,1.5574149589597182
2025-08-18,2025-09-19,P,6449.15,5700.0,0.0876712328767123,6.800000000000001,8.070345011681228,imex_euler,0.01,-0.005,0.03,1.2703450116812274,1.6137764487033777
2025-08-18,2025-09-19,P,6449.15,5750.0,0.0876712328767123,7.5,8.785531048588949,imex_euler,0.01,-0.005,0.03,1.2855310485889486,1.6525900768862019
2025-08-18,2025-09-19,P,6449.15,5750.0,0.0876712328767123,7.5,8.811553318500243,imex_euler,0.01,-0.005,0.03,1.311553318500243,1.720172107269
2025-08-18,2025-09-19,P,6449.15,5775.0,0.0876712328767123,7.9,9.210190095074854,imex_euler,0.01,-0.005,0.03,1.3101900950748533,1.716598085232253
2025-08-18,2025-09-19,P,6449.15,5775.0,0.0876712328767123,7.9,9.238357993373086,imex_euler,0.01,-0.005,0.03,1.3383579933730854,1.7912021184256317
2025-08-18,2025-09-19,P,6449.15,5800.0,0.0876712328767123,8.35,9.736729734560855,imex_euler,0.01,-0.005,0.03,1.3867297345608556,1.923019356715221
2025-08-18,2025-09-19,P,6449.15,5800.0,0.0876712328767123,8.35,9.76506800369752,imex_euler,0.01,-0.005,0.03,1.4150680036975203,2.0024174550884855
2025-08-18,2025-10-17,P,6449.15,5000.0,0.1643835616438356,7.15,7.2908468257201635,imex_euler,0.01,-0.005,0.03,0.14084682572016316,0.019837828315446015
2025-08-18,2025-10-17,P,6449.15,5000.0,0.1643835616438356,7.15,7.319245018415411,imex_euler,0.01,-0.005,0.03,0.16924501841541062,0.02864387625843268
2025-08-18,2025-10-17,P,6449.15,6000.0,0.1643835616438356,38.2,37.19307637745685,imex_euler,0.01,-0.005,0.03,1.0069236225431553,1.0138951816354307
2025-08-18,2025-10-17,P,6449.15,6000.0,0.1643835616438356,38.2,37.3417448665639,imex_euler,0.01,-0.005,0.03,0.8582551334361028,0.7366018740694227
2025-08-19,2025-09-19,C,6411.37,6000.0,0.084931506849315,445.4,447.3212384667389,imex_euler,0.01,-0.005,0.03,1.9212384667389415,3.691157246077399
2025-08-19,2025-09-19,C,6411.37,6000.0,0.084931506849315,445.4,446.8376926734885,imex_euler,0.01,-0.005,0.03,1.4376926734885274,2.0669602234025892
2025-08-19,2025-09-19,P,6411.37,5100.0,0.084931506849315,3.05,3.735618485912539,imex_euler,0.01,-0.005,0.03,0.6856184859125394,0.47007270822500297
2025-08-19,2025-09-19,P,6411.37,5100.0,0.084931506849315,3.05,3.7428002445685724,imex_euler,0.01,-0.005,0.03,0.6928002445685726,0.479972178874274
2025-08-19,2025-09-19,P,6411.37,5400.0,0.084931506849315,4.6,5.1556596207494065,imex_euler,0.01,-0.005,0.03,0.5556596207494069,0.3087576141313747
2025-08-19,2025-09-19,P,6411.37,5400.0,0.084931506849315,4.6,5.166959005492542,imex_euler,0.01,-0.005,0.03,0.5669590054925422,0.3214425139090925
2025-08-19,2025-09-19,P,6411.37,6000.0,0.084931506849315,18.25,17.66429103448412,imex_euler,0.01,-0.005,0.03,0.5857089655158809,0.34305499228568337
2025-08-19,2025-09-19,P,6411.37,6000.0,0.084931506849315,18.25,17.719637887138994,imex_euler,0.01,-0.005,0.03,0.5303621128610061,0.28128397075839057
2025-08-19,2025-09-19,P,6411.37,6050.0,0.084931506849315,21.65,22.267157346435045,imex_euler,0.01,-0.005,0.03,0.6171573464350466,0.3808831902587481
2025-08-19,2025-09-19,P,6411.37,6050.0,0.084931506849315,21.65,22.33785739594639,imex_euler,0.01,-0.005,0.03,0.6878573959463914,0.47314779715815064
2025-08-19,2025-10-17,P,6411.37,5000.0,0.1616438356164383,7.75,7.979255257436781,imex_euler,0.01,-0.005,0.03,0.22925525743678143,0.05255797306240493
