ticker,model,scheme,n_priced,n_total,MAE,RMSE
SPX,black_scholes,explicit,75,75,1.883285224702879,2.837820299279945
SPX,black_scholes,implicit,75,75,1.8964409178853976,2.83702412745734
SPX,black_scholes,crank_nicolson,75,75,1.8846334048861926,2.8378236975317432
SPX,heston,douglas,75,75,30.086915515989542,36.26428855412919
SPX,heston,craig_sneyd,75,75,30.173443337208937,36.35811989662972
SPX,heston,modified_craig_sneyd,75,75,31.53012695000137,37.4237916564042
SPX,heston,hundsdorfer_verwer,75,75,27.884167229861443,35.23074494843492
SPX,merton,imex_euler,75,75,3.0630732788962365,4.210523896924339
SPX,black_scholes,monte_carlo,75,75,0.7461592922679475,0.988990084173152
SPX,heston,monte_carlo,75,75,2113.110747165173,2141.120177166267
SPX,merton,monte_carlo,75,75,0.7461592922679474,0.9889900841731508
RUT,black_scholes,explicit,75,75,1.119307265593358,1.4907664758385826
RUT,black_scholes,implicit,75,75,1.1215886340646293,1.492252416193212
RUT,black_scholes,crank_nicolson,75,75,1.1195939366819574,1.49105715846165
RUT,heston,douglas,75,75,6.314115893665512,7.773441471281939
RUT,heston,craig_sneyd,75,75,6.314115893665512,7.773441471281939
RUT,heston,modified_craig_sneyd,75,75,5.829409776730459,7.240048009122909
RUT,heston,hundsdorfer_verwer,75,75,7.701729116977223,9.921126662940523
RUT,merton,imex_euler,75,75,1.5870150824564397,2.152952421568521
RUT,black_scholes,monte_carlo,75,75,0.8263168205295535,1.2391876768420416
RUT,heston,monte_carlo,75,75,781.677839948478,785.0004459785885
RUT,merton,monte_carlo,75,75,0.8264996894775961,1.239171734661519
TSLA,black_scholes,explicit,73,75,0.2436809449622732,0.3031678269847333
TSLA,black_scholes,implicit,75,75,0.2661271089295703,0.3452425749448877
TSLA,black_scholes,crank_nicolson,75,75,0.2650007644566765,0.3438654958786072
TSLA,heston,douglas,75,75,0.5812813028548337,0.7315458149002874
TSLA,heston,craig_sneyd,75,75,0.5823860074203877,0.7319298178120125
TSLA,heston,modified_craig_sneyd,75,75,0.5824704622820105,0.7319257345640257
TSLA,heston,hundsdorfer_verwer,75,75,0.581948235751694,0.7315702286364102
TSLA,merton,imex_euler,75,75,0.3207396636481955,0.44709363704662186
TSLA,black_scholes,monte_carlo,75,75,0.14761947170382442,0.18349933335194327
TSLA,heston,monte_carlo,75,75,77.63709838507071,78.17555312517851
TSLA,merton,monte_carlo,75,75,0.14990321453579658,0.18609998657213936
PLTR,black_scholes,explicit,75,75,0.10959951597277097,0.13326891340505015
PLTR,black_scholes,implicit,75,75,0.10960038238728151,0.13364977047279555
PLTR,black_scholes,crank_nicolson,75,75,0.10959851620890748,0.13332344588477552
PLTR,heston,douglas,75,75,1.9885176724464595,2.0615528427897143
PLTR,heston,craig_sneyd,75,75,1.98851767244687,2.061552842790052
PLTR,heston,modified_craig_sneyd,75,75,1.991845588518977,2.064753350018191
PLTR,heston,hundsdorfer_verwer,75,75,1.982608964192458,2.0558631554385003
PLTR,merton,imex_euler,75,75,0.17344191198225506,0.2143692804731249
PLTR,black_scholes,monte_carlo,75,75,0.07599810659925939,0.08423051000193539
PLTR,heston,monte_carlo,75,75,8.271270547721397,8.36891649373251
PLTR,merton,monte_carlo,75,75,0.07599810659925935,0.08423051000193531
