date,exdate,cp_flag,spot_price,strike_price,tau (time to maturity),market_mid_price,model_price,abs_error,sq_error
2025-08-18,2025-09-19,P,6449.15,5000.0,0.0876712328767123,2.4749999999999996,2.85410508374237,0.3791050837423704,0.14372066451930968
2025-08-18,2025-09-19,P,6449.15,5000.0,0.0876712328767123,2.4749999999999996,2.8617618881803493,0.3867618881803496,0.14958475814882927
2025-08-18,2025-09-19,P,6449.15,5500.0,0.0876712328767123,4.9,5.374085497633478,0.47408549763347807,0.22475705906638255
2025-08-18,2025-09-19,P,6449.15,5500.0,0.0876712328767123,4.9,5.387643019320518,0.4876430193205179,0.237795714292031
2025-08-18,2025-09-19,P,6449.15,5600.0,0.0876712328767123,5.699999999999999,6.956323986115172,1.2563239861151727,1.5783499580883167
2025-08-18,2025-09-19,P,6449.15,5600.0,0.0876712328767123,5.699999999999999,6.974662991361313,1.2746629913613141,1.6247657415461736
2025-08-18,2025-09-19,P,6449.15,5650.0,0.0876712328767123,6.199999999999999,7.395544578648475,1.1955445786484757,1.4293268395357615
2025-08-18,2025-09-19,P,6449.15,5650.0,0.0876712328767123,6.199999999999999,7.416429274561787,1.2164292745617873,1.4797001800109162
2025-08-18,2025-09-19,P,6449.15,5675.0,0.0876712328767123,6.5,7.724098556573365,1.2240985565733649,1.4984172762049954
2025-08-18,2025-09-19,P,6449.15,5675.0,0.0876712328767123,6.5,7.744913500360516,1.244913500360516,1.5498096233798726
2025-08-18,2025-09-19,P,6449.15,5700.0,0.0876712328767123,6.800000000000001,8.028918682163283,1.2289186821632825,1.510241127369939
2025-08-18,2025-09-19,P,6449.15,5700.0,0.0876712328767123,6.800000000000001,8.051258239941756,1.2512582399417553,1.5656471830221395
2025-08-18,2025-09-19,P,6449.15,5750.0,0.0876712328767123,7.5,8.766201674870848,1.2662016748708478,1.6032666814457401
2025-08-18,2025-09-19,P,6449.15,5750.0,0.0876712328767123,7.5,8.792181341158699,1.2921813411586989,1.6697326184386938
2025-08-18,2025-09-19,P,6449.15,5775.0,0.0876712328767123,7.9,9.190668583243705,1.2906685832437041,1.6658253917723105
2025-08-18,2025-09-19,P,6449.15,5775.0,0.0876712328767123,7.9,9.218793084456754,1.318793084456754,1.7392151996109588
2025-08-18,2025-09-19,P,6449.15,5800.0,0.0876712328767123,8.35,9.71697001097524,1.3669700109752405,1.8686070109056492
2025-08-18,2025-09-19,P,6449.15,5800.0,0.0876712328767123,8.35,9.745262989137132,1.395262989137132,1.9467588088558845
2025-08-18,2025-09-19,P,6449.15,6000.0,0.0876712328767123,14.75,16.03332637935411,1.2833263793541114,1.6469265959461328
2025-08-18,2025-09-19,P,6449.15,6000.0,0.0876712328767123,14.75,16.08843430624954,1.338434306249539,1.7914063921456846
2025-08-18,2025-09-19,P,6449.15,6050.0,0.0876712328767123,17.4,19.960788218669894,2.560788218669895,6.557636300878535
2025-08-18,2025-09-19,P,6449.15,6050.0,0.0876712328767123,17.4,20.02552295029034,2.6255229502903425,6.893370762501305
2025-08-18,2025-09-19,P,6449.15,6100.0,0.0876712328767123,20.65,20.498668919660716,0.15133108033928266,0.022901095876654422
2025-08-18,2025-09-19,P,6449.15,6100.0,0.0876712328767123,20.65,20.568475441637055,0.08152455836294337,0.006646253616272959
2025-08-18,2025-09-19,P,6449.15,6150.0,0.0876712328767123,24.7,26.18674381279888,1.4867438127988812,2.210407164895755
2025-08-18,2025-09-19,P,6449.15,6150.0,0.0876712328767123,24.7,26.277099829361244,1.577099829361245,2.4872438717712684
2025-08-18,2025-09-19,P,6449.15,6300.0,0.0876712328767123,43.05,43.93809328797856,0.8880932879785632,0.7887096881525753
2025-08-18,2025-09-19,P,6449.15,6300.0,0.0876712328767123,43.05,44.092549845279414,1.0425498452794173,1.086910179892137
2025-08-18,2025-09-19,P,6449.15,6400.0,0.0876712328767123,64.15,59.02251599214004,5.127484007859962,26.291092250859663
2025-08-18,2025-09-19,P,6449.15,6400.0,0.0876712328767123,64.15,59.245840749058445,4.904159250941561,24.050777958595692
2025-08-18,2025-10-17,P,6449.15,4600.0,0.1643835616438356,4.6,5.262804292043322,0.6628042920433224,0.43930952955104974
2025-08-18,2025-10-17,P,6449.15,4600.0,0.1643835616438356,4.6,5.281175339126941,0.6811753391269413,0.46399984263470345
2025-08-18,2025-10-17,P,6449.15,5000.0,0.1643835616438356,7.15,7.27230537423599,0.12230537423598964,0.014958604567005478
2025-08-18,2025-10-17,P,6449.15,5000.0,0.1643835616438356,7.15,7.300646899402642,0.1506468994026413,0.022694488299629532
2025-08-18,2025-10-17,P,6449.15,5500.0,0.1643835616438356,13.85,13.587600971484362,0.2623990285156381,0.06885325016595067
2025-08-18,2025-10-17,P,6449.15,5500.0,0.1643835616438356,13.85,13.633567875392178,0.21643212460782202,0.046842864562255795
2025-08-18,2025-10-17,P,6449.15,5600.0,0.1643835616438356,16.549999999999997,16.52074200257528,0.02925799742471824,0.0008560304133048192
2025-08-18,2025-10-17,P,6449.15,5600.0,0.1643835616438356,16.549999999999997,16.58012665221055,0.03012665221055144,0.000907615173415524
2025-08-18,2025-10-17,P,6449.15,5700.0,0.1643835616438356,20.1,20.926667204756164,0.8266672047561627,0.6833786674193675
2025-08-18,2025-10-17,P,6449.15,5700.0,0.1643835616438356,20.1,21.00158629558797,0.9015862955879683,0.8128578483920353
2025-08-18,2025-10-17,P,6449.15,6000.0,0.1643835616438356,38.2,37.1735481630465,1.0264518369535054,1.0536033735852257
2025-08-18,2025-10-17,P,6449.15,6000.0,0.1643835616438356,38.2,37.32215652039823,0.877843479601772,0.7706091746793468
2025-08-18,2025-10-17,P,6449.15,6400.0,0.1643835616438356,99.85,97.2282345376835,2.621765462316489,6.873654139395593
2025-08-18,2025-10-17,P,6449.15,6400.0,0.1643835616438356,99.85,97.65245433263807,2.197545667361922,4.829206960141155
2025-08-18,2025-09-26,P,6449.15,6200.0,0.1068493150684931,38.099999999999994,36.03651743363656,2.063482566363433,4.25796030168582
2025-08-18,2025-09-26,P,6449.15,6200.0,0.1068493150684931,38.099999999999994,36.17056906668076,1.9294309333192317,3.7227037264491214
2025-08-18,2025-09-30,P,6449.15,6175.0,0.1178082191780822,38.85,35.894851615895476,2.9551483841045254,8.732901972075588
2025-08-18,2025-09-30,P,6449.15,6175.0,0.1178082191780822,38.85,36.04055598026777,2.809444019732233,7.892975700009206
2025-08-19,2025-09-19,C,6411.37,6000.0,0.084931506849315,445.4,447.31078229680867,1.9107822968086907,3.6510889857974953
2025-08-19,2025-09-19,C,6411.37,6000.0,0.084931506849315,445.4,446.82721246691403,1.4272124669140567,2.0369354257149075
2025-08-19,2025-09-19,P,6411.37,5000.0,0.084931506849315,2.7,3.1479521263508436,0.44795212635084347,0.20066110750224203
2025-08-19,2025-09-19,P,6411.37,5000.0,0.084931506849315,2.7,3.156305960015443,0.45630596001544266,0.20821512914561474
2025-08-19,2025-09-19,P,6411.37,5100.0,0.084931506849315,3.05,3.7194346348585796,0.6694346348585798,0.44814273034824004
2025-08-19,2025-09-19,P,6411.37,5100.0,0.084931506849315,3.05,3.7265925236984248,0.6765925236984249,0.4577774431246037
2025-08-19,2025-09-19,P,6411.37,5400.0,0.084931506849315,4.6,5.138847703912185,0.5388477039121851,0.29035684801143385
2025-08-19,2025-09-19,P,6411.37,5400.0,0.084931506849315,4.6,5.150116914439717,0.5501169144397178,0.3026286195526758
2025-08-19,2025-09-19,P,6411.37,5500.0,0.084931506849315,5.300000000000001,6.474426148828683,1.1744261488286822,1.3792767790525702
2025-08-19,2025-09-19,P,6411.37,5500.0,0.084931506849315,5.300000000000001,6.4903918830474785,1.1903918830474778,1.41703283522532
2025-08-19,2025-09-19,P,6411.37,5550.0,0.084931506849315,5.800000000000001,6.974642300088827,1.1746423000888262,1.3797845331579681
2025-08-19,2025-09-19,P,6411.37,5550.0,0.084931506849315,5.800000000000001,6.99155791655718,1.191557916557179,1.4198102685100853
2025-08-19,2025-09-19,P,6411.37,5700.0,0.084931506849315,7.699999999999999,8.904199113154041,1.2041991131540417,1.4500955041209806
2025-08-19,2025-09-19,P,6411.37,5700.0,0.084931506849315,7.699999999999999,8.928160929568918,1.2281609295689186,1.5083792689195903
2025-08-19,2025-09-19,P,6411.37,5800.0,0.084931506849315,9.8,11.564676077451182,1.7646760774511812,3.114081658328487
2025-08-19,2025-09-19,P,6411.37,5800.0,0.084931506849315,9.8,11.598767752905939,1.7987677529059383,3.2355654288942786
2025-08-19,2025-09-19,P,6411.37,6000.0,0.084931506849315,18.25,17.64518093386082,0.6048190661391786,0.36580610276546804
2025-08-19,2025-09-19,P,6411.37,6000.0,0.084931506849315,18.25,17.70048297464638,0.5495170253536195,0.3019689611534905
2025-08-19,2025-09-19,P,6411.37,6050.0,0.084931506849315,21.65,22.246901776482257,0.5969017764822588,0.3562917307676765
2025-08-19,2025-09-19,P,6411.37,6050.0,0.084931506849315,21.65,22.317554940285348,0.6675549402853491,0.44562959829937604
2025-08-19,2025-09-19,P,6411.37,6150.0,0.084931506849315,30.9,29.542561635836748,1.3574383641632508,1.8426389125022022
2025-08-19,2025-09-19,P,6411.37,6150.0,0.084931506849315,30.9,29.64172400769701,1.2582759923029876,1.5832584728060681
2025-08-19,2025-09-19,P,6411.37,6200.0,0.084931506849315,37.0,37.39863306281597,0.3986330628159678,0.1589083187700393
