date,exdate,cp_flag,spot_price,strike_price,tau (time to maturity),market_mid_price,model_price,abs_error,sq_error
2025-08-18,2025-09-19,P,6449.15,5000.0,0.0876712328767123,2.475,2.8679180878114017,0.3929180878114016,0.1543846237293683
2025-08-18,2025-09-19,P,6449.15,5000.0,0.0876712328767123,2.475,2.8756033085403465,0.4006033085403464,0.160483010813472
2025-08-18,2025-09-19,P,6449.15,5500.0,0.0876712328767123,4.9,5.388449686896668,0.4884496868966677,0.23858309662945268
2025-08-18,2025-09-19,P,6449.15,5500.0,0.0876712328767123,4.9,5.402035769942127,0.5020357699421263,0.25203991430138356
2025-08-18,2025-09-19,P,6449.15,5600.0,0.0876712328767123,5.699999999999999,6.9715736844922995,1.2715736844923002,1.616899635093324
2025-08-18,2025-09-19,P,6449.15,5600.0,0.0876712328767123,5.699999999999999,6.9899448987178765,1.2899448987178772,1.6639578417282745
2025-08-18,2025-09-19,P,6449.15,5650.0,0.0876712328767123,6.199999999999999,7.41047857791436,1.210478577914361,1.4652583875895737
2025-08-18,2025-09-19,P,6449.15,5650.0,0.0876712328767123,6.199999999999999,7.431395736465505,1.2313957364655055,1.5163354597854246
2025-08-18,2025-09-19,P,6449.15,5675.0,0.0876712328767123,6.5,7.738888457946963,1.2388884579469632,1.5348446112342045
2025-08-18,2025-09-19,P,6449.15,5675.0,0.0876712328767123,6.5,7.7597369810149495,1.2597369810149495,1.5869372613366592
2025-08-18,2025-09-19,P,6449.15,5700.0,0.0876712328767123,6.800000000000001,8.043521811988048,1.2435218119880478,1.5463464968900378
2025-08-18,2025-09-19,P,6449.15,5700.0,0.0876712328767123,6.800000000000001,8.065895057206056,1.2658950572060554,1.6024902958587224
2025-08-18,2025-09-19,P,6449.15,5750.0,0.0876712328767123,7.5,8.78046091487203,1.2804609148720303,1.639580154514917
2025-08-18,2025-09-19,P,6449.15,5750.0,0.0876712328767123,7.5,8.806474461925303,1.306474461925303,1.70687551966301
2025-08-18,2025-09-19,P,6449.15,5775.0,0.0876712328767123,7.9,9.204757220211198,1.3047572202111972,1.7023914036932506
2025-08-18,2025-09-19,P,6449.15,5775.0,0.0876712328767123,7.9,9.232915665057462,1.3329156650574614,1.7766641701555745
2025-08-18,2025-09-19,P,6449.15,5800.0,0.0876712328767123,8.35,9.730885172926822,1.3808851729268223,1.90684386080914
2025-08-18,2025-09-19,P,6449.15,5800.0,0.0876712328767123,8.35,9.759213451336464,1.4092134513364645,1.98588255142763
2025-08-18,2025-09-19,P,6449.15,6000.0,0.0876712328767123,14.75,16.044006316606552,1.294006316606552,1.6744523474176563
