date,exdate,cp_flag,spot_price,strike_price,tau (time to maturity),market_mid_price,model_price,abs_error,sq_error
2025-08-18,2025-09-19,P,6449.15,5650.0,0.0876712328767123,6.199999999999999,7.403099554556819,1.20309955455682,1.4474485381748186
2025-08-18,2025-09-19,P,6449.15,5650.0,0.0876712328767123,6.199999999999999,7.424000621757054,1.224000621757055,1.498177522061657
2025-08-18,2025-09-19,P,6449.15,5675.0,0.0876712328767123,6.5,7.731581860749971,1.2315818607499711,1.5167938797283613
2025-08-18,2025-09-19,P,6449.15,5675.0,0.0876712328767123,6.5,7.7524137394340125,1.2524137394340125,1.5685401747230865
2025-08-18,2025-09-19,P,6449.15,5700.0,0.0876712328767123,6.800000000000001,8.036308637630539,1.2363086376305379,1.5284590474798767
2025-08-18,2025-09-19,P,6449.15,5700.0,0.0876712328767123,6.800000000000001,8.058665189254146,1.2586651892541454,1.5842380586401736
2025-08-18,2025-09-19,P,6449.15,5750.0,0.0876712328767123,7.5,8.773420634871112,1.273420634871112,1.6216001133155458
2025-08-18,2025-09-19,P,6449.15,5750.0,0.0876712328767123,7.5,8.799417403483,1.299417403483,1.6884855884745016
2025-08-18,2025-09-19,P,6449.15,5775.0,0.0876712328767123,7.9,9.197803049069083,1.297803049069083,1.6842927541730088
2025-08-18,2025-09-19,P,6449.15,5775.0,0.0876712328767123,7.9,9.225944690960104,1.3259446909601031,1.7581293234852835
2025-08-18,2025-09-19,P,6449.15,5800.0,0.0876712328767123,8.35,9.724019031025263,1.374019031025263,1.8879282976196023
2025-08-18,2025-09-19,P,6449.15,5800.0,0.0876712328767123,8.35,9.752329836394042,1.402329836394042,1.9665289700409405
2025-08-18,2025-10-17,P,6449.15,5000.0,0.1643835616438356,7.15,7.280521608226674,0.13052160822667336,0.017035890214077205
2025-08-18,2025-10-17,P,6449.15,5000.0,0.1643835616438356,7.15,7.308888535798226,0.15888853579822548,0.02524556680810398
2025-08-18,2025-10-17,P,6449.15,6000.0,0.1643835616438356,38.2,37.175429851335366,1.0245701486646368,1.049743989534676
2025-08-18,2025-10-17,P,6449.15,6000.0,0.1643835616438356,38.2,37.32405315032589,0.875946849674115,0.7672828834540065
2025-08-19,2025-09-19,C,6411.37,6000.0,0.084931506849315,445.4,447.31160033360413,1.9116003336041558,3.6542158354355196
2025-08-19,2025-09-19,C,6411.37,6000.0,0.084931506849315,445.4,446.82803490687627,1.4280349068762916,2.039283695257179
2025-08-19,2025-09-19,P,6411.37,5100.0,0.084931506849315,3.05,3.7270090889405094,0.6770090889405096,0.4583413065080588
2025-08-19,2025-09-19,P,6411.37,5100.0,0.084931506849315,3.05,3.734178218029127,0.6841782180291274,0.46809983402551214
2025-08-19,2025-09-19,P,6411.37,5400.0,0.084931506849315,4.6,5.146264937942739,0.5462649379427393,0.29840538242558484
