date,exdate,cp_flag,spot_price,strike_price,tau (time to maturity),market_mid_price,model_price,std_error,ci_95_lower,ci_95_upper,n_paths,n_steps,antithetic_used,abs_error,sq_error,model_name
2025-08-18,2025-09-19,P,6449.15,5650.0,0.0876712328767123,6.199999999999999,6.841551946938629,0.4421531289799562,5.974947738486222,7.708156155391036,10000,252,True,0.6415519469386295,0.41158890062074605,black_scholes
2025-08-18,2025-09-19,P,6449.15,5650.0,0.0876712328767123,6.199999999999999,6.854112128458673,0.44260789476140083,5.986616595453233,7.7216076614641125,10000,252,True,0.6541121284586735,0.4278626765967362,black_scholes
2025-08-18,2025-09-19,P,6449.15,5675.0,0.0876712328767123,6.5,7.159527662893053,0.4505992320822071,6.276369396550522,8.042685929235585,10000,252,True,0.6595276628930531,0.43497673812117266,black_scholes
2025-08-18,2025-09-19,P,6449.15,5675.0,0.0876712328767123,6.5,7.172587267325149,0.45106756892348016,6.288511077641089,8.056663457009208,10000,252,True,0.6725872673251487,0.4523736321679111,black_scholes
2025-08-18,2025-09-19,P,6449.15,5700.0,0.0876712328767123,6.800000000000001,7.469274413834673,0.4584759486252348,6.570678066751377,8.367870760917969,10000,252,True,0.669274413834672,0.4479282410137438,black_scholes
2025-08-18,2025-09-19,P,6449.15,5700.0,0.0876712328767123,6.800000000000001,7.48296563522738,0.45895733281546014,6.583425792468515,8.382505477986244,10000,252,True,0.6829656352273794,0.4664420589015379,black_scholes
2025-08-18,2025-09-19,P,6449.15,5750.0,0.0876712328767123,7.5,8.200151287920137,0.4764653751021182,7.266296312839619,9.134006263000657,10000,252,True,0.7001512879201375,0.49021182597622726,black_scholes
2025-08-18,2025-09-19,P,6449.15,5750.0,0.0876712328767123,7.5,8.215802038603314,0.476975217668816,7.280947790454282,9.150656286752346,10000,252,True,0.7158020386033144,0.5123725584686608,black_scholes
2025-08-18,2025-09-19,P,6449.15,5775.0,0.0876712328767123,7.9,8.619926656698768,0.4863798902911887,7.666639588923495,9.57321372447404,10000,252,True,0.7199266566987674,0.5182943910254649,black_scholes
2025-08-18,2025-09-19,P,6449.15,5775.0,0.0876712328767123,7.9,8.636430846934665,0.48690579578775905,7.682113023326843,9.590748670542487,10000,252,True,0.736430846934665,0.5423303923169079,black_scholes
2025-08-18,2025-09-19,P,6449.15,5800.0,0.0876712328767123,8.35,9.091500475443603,0.49742103331574616,8.116573164992042,10.066427785895163,10000,252,True,0.741500475443603,0.5498229550830893,black_scholes
2025-08-18,2025-09-19,P,6449.15,5800.0,0.0876712328767123,8.35,9.10906897556253,0.49796393254870486,8.133077602167134,10.085060348957924,10000,252,True,0.7590689755625295,0.576185709661548,black_scholes
2025-08-18,2025-10-17,P,6449.15,5000.0,0.1643835616438356,7.15,7.570427712096021,0.5619239611615556,6.469076986169288,8.671778438022754,10000,252,True,0.4204277120960205,0.1767594610982943,black_scholes
2025-08-18,2025-10-17,P,6449.15,5000.0,0.1643835616438356,7.15,7.585824863748846,0.5625858544752799,6.483176850765606,8.688472876732087,10000,252,True,0.435824863748846,0.1899433118617002,black_scholes
2025-08-18,2025-10-17,P,6449.15,6000.0,0.1643835616438356,38.2,38.06149775802075,1.1786323186244656,35.75142086250186,40.37157465353964,10000,252,True,0.13850224197925343,0.01918287103327967,black_scholes
2025-08-18,2025-10-17,P,6449.15,6000.0,0.1643835616438356,38.2,38.15788526095723,1.1802846943879748,35.844569768452935,40.471200753461524,10000,252,True,0.04211473904277341,0.0017736512446409028,black_scholes
2025-08-19,2025-09-19,C,6411.37,6000.0,0.084931506849315,445.4,451.06417269539236,3.201694717158225,444.7889663602701,457.33937903051464,10000,252,True,5.664172695392381,32.082852323228586,black_scholes
2025-08-19,2025-09-19,C,6411.37,6000.0,0.084931506849315,445.4,450.77996633268765,3.20124963234122,444.5056323477768,457.0543003175985,10000,252,True,5.3799663326876725,28.944037740852846,black_scholes
2025-08-19,2025-09-19,P,6411.37,5100.0,0.084931506849315,3.05,3.4039002563096417,0.3350652580907652,2.747184417981124,4.060616094638159,10000,252,True,0.35390025630964184,0.1252453914160302,black_scholes
2025-08-19,2025-09-19,P,6411.37,5100.0,0.084931506849315,3.05,3.4088126287779663,0.33533305537181507,2.751571917423433,4.066053340132499,10000,252,True,0.3588126287779665,0.12874650257055478,black_scholes
2025-08-19,2025-09-19,P,6411.37,5400.0,0.084931506849315,4.6,5.109899058866971,0.3954851069018438,4.334762492917385,5.885035624816558,10000,252,True,0.5098990588669716,0.2599970502334234,black_scholes
2025-08-19,2025-09-19,P,6411.37,5400.0,0.084931506849315,4.6,5.11782896389298,0.3958422133865556,4.341992482094712,5.893665445691248,10000,252,True,0.5178289638929803,0.26814683584647747,black_scholes
2025-08-19,2025-09-19,P,6411.37,6000.0,0.084931506849315,18.25,18.92697825485949,0.7068245309514283,17.541627630805273,20.312328878913704,10000,252,True,0.6769782548594883,0.4582995575525982,black_scholes
2025-08-19,2025-09-19,P,6411.37,6000.0,0.084931506849315,18.25,18.962346426513818,0.7075757765247058,17.575523388192433,20.349169464835203,10000,252,True,0.7123464265138182,0.5074374313670066,black_scholes
2025-08-19,2025-09-19,P,6411.37,6050.0,0.084931506849315,21.65,22.209404034080332,0.7611798390526147,20.717518963779213,23.701289104381452,10000,252,True,0.5594040340803339,0.31293287334535136,black_scholes
