secid,date,exdate,strike_price,impl_volatility,best_bid,best_offer,cp_flag,volume,open_interest,delta,gamma,theta,vega,security_name,spot_price,days,rate,mid_price,spread,spread_pct,tau (time to maturity),log_moneyness
214684.0,2025-07-01,2025-08-01,126.0,0.561695,5.9,6.2,P,197.0,166.0,-0.37328,0.017794,-45.48756,14.41332,PLTR,130.68,60.0,4.440042,6.050000000000001,0.2999999999999998,0.0495867768595041,0.08493150684931507,-0.03646967978139144
214684.0,2025-07-01,2025-08-01,127.0,0.553508,6.3,6.45,P,194.0,289.0,-0.391159,0.018322,-45.36305,14.6137,PLTR,130.68,30.0,4.464699,6.375,0.15000000000000036,0.023529411764705938,0.08493150684931507,-0.028564500274278152
214684.0,2025-07-01,2025-08-01,127.0,0.553508,6.3,6.45,P,194.0,289.0,-0.391159,0.018322,-45.36305,14.6137,PLTR,130.68,60.0,4.440042,6.375,0.15000000000000036,0.023529411764705938,0.08493150684931507,-0.028564500274278152
214684.0,2025-07-01,2025-08-01,128.0,0.552687,6.75,6.9,P,130.0,266.0,-0.410014,0.018586,-45.77945,14.79429,PLTR,130.68,30.0,4.464699,6.825,0.15000000000000036,0.02197802197802203,0.08493150684931507,-0.020721322813252244
214684.0,2025-07-01,2025-08-01,128.0,0.552687,6.75,6.9,P,130.0,266.0,-0.410014,0.018586,-45.77945,14.79429,PLTR,130.68,60.0,4.440042,6.825,0.15000000000000036,0.02197802197802203,0.08493150684931507,-0.020721322813252244
214684.0,2025-07-01,2025-08-01,129.0,0.564569,9.5,9.75,C,191.0,61.0,0.57295,0.018238,-52.54784,14.93977,PLTR,130.68,30.0,4.464699,9.625,0.25,0.025974025974025976,0.08493150684931507,-0.012939182371197393
214684.0,2025-07-01,2025-08-01,129.0,0.564569,9.5,9.75,C,191.0,61.0,0.57295,0.018238,-52.54784,14.93977,PLTR,130.68,60.0,4.440042,9.625,0.25,0.025974025974025976,0.08493150684931507,-0.012939182371197393
214684.0,2025-07-01,2025-08-01,129.0,0.550558,7.2,7.35,P,138.0,237.0,-0.428987,0.018853,-45.96782,14.94178,PLTR,130.68,30.0,4.464699,7.275,0.14999999999999947,0.020618556701030855,0.08493150684931507,-0.012939182371197393
214684.0,2025-07-01,2025-08-01,129.0,0.550558,7.2,7.35,P,138.0,237.0,-0.428987,0.018853,-45.96782,14.94178,PLTR,130.68,60.0,4.440042,7.275,0.14999999999999947,0.020618556701030855,0.08493150684931507,-0.012939182371197393
214684.0,2025-07-01,2025-08-01,130.0,0.560991,9.0,9.15,C,2533.0,254.0,0.554408,0.018492,-52.52117,15.05311,PLTR,130.68,30.0,4.464699,9.075,0.15000000000000036,0.016528925619834753,0.08493150684931507,-0.005217136277287071
214684.0,2025-07-01,2025-08-01,130.0,0.560991,9.0,9.15,C,2533.0,254.0,0.554408,0.018492,-52.52117,15.05311,PLTR,130.68,60.0,4.440042,9.075,0.15000000000000036,0.016528925619834753,0.08493150684931507,-0.005217136277287071
214684.0,2025-07-01,2025-08-01,130.0,0.548837,7.65,7.85,P,627.0,1609.0,-0.448122,0.019066,-46.07704,15.05363,PLTR,130.68,30.0,4.464699,7.75,0.1999999999999993,0.025806451612903136,0.08493150684931507,-0.005217136277287071
