strike,maturity,market_price,cf_price,pde_price,cf_error,pde_error,cf_abs_error,pde_abs_error,cf_pct_error,pde_pct_error
2220.0,0.084931506849315,47.5,64.67471838325275,62.696318809631194,17.174718383252753,15.196318809631194,17.174718383252753,15.196318809631194,36.15730185947948,31.992250125539357
2270.0,0.084931506849315,28.200000000000003,44.800978600011376,43.46998362405785,16.600978600011373,15.26998362405785,16.600978600011373,15.26998362405785,58.86871843975664,54.148878099495924
2290.0,0.1041095890410958,27.05,42.052316982811135,39.64479031876806,15.002316982811134,12.594790318768059,15.002316982811134,12.594790318768059,55.461430620373875,46.56114720431815
2340.0,0.1041095890410958,15.45,28.370919720917982,26.348030913417773,12.920919720917983,10.898030913417774,12.920919720917983,10.898030913417774,83.6305483554562,70.5374169153254
2190.0,0.0986301369863013,111.95,82.42595861059795,76.41482960012718,-29.524041389402058,-35.535170399872825,29.524041389402058,35.535170399872825,-26.37252468905945,-31.742001250444684
2365.0,0.1178082191780822,28.1,24.705410825218735,22.98860631381074,-3.3945891747812666,-5.11139368618926,3.3945891747812666,5.11139368618926,-12.08038852235326,-18.190013118111242
2415.0,0.1178082191780822,16.5,16.113258938372724,14.986906730434695,-0.3867410616272764,-1.5130932695653048,0.3867410616272764,1.5130932695653048,-2.3438852219834936,-9.170262239789725
2335.0,0.0876712328767123,25.049999999999997,26.8026593909359,25.805968504335723,1.7526593909359036,0.7559685043357263,1.7526593909359036,0.7559685043357263,6.996644275193228,3.0178383406615823
2415.0,0.0876712328767123,8.45,12.856753469373132,13.031263007918223,4.4067534693731325,4.581263007918224,4.4067534693731325,4.581263007918224,52.150928631634706,54.216130271221594
2290.0,0.1150684931506849,22.299999999999997,43.82318434217029,39.972566485550814,21.523184342170296,17.672566485550817,21.523184342170296,17.672566485550817,96.51652171376816,79.24917706525031
2340.0,0.1150684931506849,12.5,29.886894196908088,26.898064300240435,17.386894196908088,14.398064300240435,17.386894196908088,14.398064300240435,139.0951535752647,115.18451440192348
2170.0,0.1342465753424657,77.5,99.49975468401112,81.43128716725099,21.999754684011123,3.9312871672509857,21.999754684011123,3.9312871672509857,28.386780237433705,5.072628602904498
2200.0,0.1342465753424657,61.25,83.55687378782363,69.85401048401611,22.306873787823633,8.604010484016115,22.306873787823633,8.604010484016115,36.41938577603859,14.047364055536516
2230.0,0.1068493150684931,59.900000000000006,65.03767862706309,59.49052689199074,5.137678627063082,-0.40947310800926573,5.137678627063082,0.40947310800926573,8.577092866549384,-0.6835945041890913
2450.0,0.1041095890410958,11.45,10.619865941294904,10.929627221217604,-0.8301340587050952,-0.5203727787823951,0.8301340587050952,0.5203727787823951,-7.250079115328342,-4.544740426047119
2290.0,0.0821917808219178,80.80000000000001,37.654446080247794,37.53844179488718,-43.14555391975222,-43.261558205112834,43.14555391975222,43.261558205112834,-53.397962771970555,-53.541532432070326
2340.0,0.0821917808219178,51.55,24.633236390275272,24.097895047964943,-26.916763609724725,-27.452104952035054,26.916763609724725,27.452104952035054,-52.21486636222061,-53.25335587203697
2300.0,0.1013698630136986,81.45,38.50461862017801,36.751458987980925,-42.945381379821995,-44.69854101201908,42.945381379821995,44.69854101201908,-52.72606676466789,-54.87850339106086
2390.0,0.1013698630136986,37.2,18.17836537201771,18.146208815471127,-19.021634627982294,-19.053791184528876,19.021634627982294,19.053791184528876,-51.133426419307234,-51.219868775615254
2440.0,0.1013698630136986,22.35,11.431429200619391,11.627754131446869,-10.91857079938061,-10.722245868553133,10.91857079938061,10.722245868553133,-48.85266576904076,-47.97425444542788
2300.0,0.0986301369863013,62.0,38.01859364275208,36.56517808691753,-23.98140635724792,-25.434821913082473,23.98140635724792,25.434821913082473,-38.67968767298052,-41.02390631142334
2290.0,0.0958904109589041,59.3,40.55303487599667,39.10854780382792,-18.746965124003324,-20.19145219617208,18.746965124003324,20.19145219617208,-31.613769180444056,-34.04966643536607
2300.0,0.0958904109589041,54.099999999999994,37.51486672185672,36.34875340806716,-16.585133278143275,-17.751246591932833,16.585133278143275,17.751246591932833,-30.656438591762065,-32.811916066419286
2350.0,0.0958904109589041,33.05,24.886994680955524,24.108768375386557,-8.163005319044473,-8.94123162461344,8.163005319044473,8.94123162461344,-24.698957092418983,-27.05365090654596
2445.0,0.1150684931506849,34.55,12.070722589972831,11.878834567780219,-22.479277410027166,-22.67116543221978,22.479277410027166,22.67116543221978,-65.06303157750266,-65.61842382697478
2495.0,0.1150684931506849,21.5,7.474074157856762,7.497605322205321,-14.025925842143238,-14.00239467779468,14.025925842143238,14.00239467779468,-65.23686438206157,-65.12741710602177
2600.0,0.1452054794520547,8.2,3.220394221314635,3.4564024639879833,-4.9796057786853645,-4.743597536012016,4.9796057786853645,4.743597536012016,-60.72689974006542,-57.848750439170935
2420.0,0.0958904109589041,34.95,13.215825579435773,12.948627222730007,-21.73417442056423,-22.001372777269996,21.73417442056423,22.001372777269996,-62.18647902879607,-62.950995070872665
2520.0,0.0958904109589041,11.35,4.771220381957704,5.272924161591097,-6.5787796180422955,-6.077075838408903,6.5787796180422955,6.077075838408903,-57.96281601799379,-53.54251840007844
2600.0,0.1424657534246575,9.65,3.160615984822712,3.3768995360955563,-6.489384015177288,-6.273100463904444,6.489384015177288,6.273100463904444,-67.24750274795117,-65.00622242388025
2500.0,0.136986301369863,28.15,8.241627279527108,7.716974052285668,-19.90837272047289,-20.43302594771433,19.90837272047289,20.43302594771433,-70.7224608187314,-72.5862378249177
