strike,maturity,market_price,cf_price,pde_price,cf_error,pde_error,cf_abs_error,pde_abs_error,cf_pct_error,pde_pct_error
130.0,0.1424657534246575,31.15,14.558226443195267,15.079670366803704,-16.591773556804732,-16.070329633196295,16.591773556804732,16.070329633196295,-53.26412056759143,-51.59014328473931
115.0,0.0876712328767123,36.2,20.236250583264848,20.475843871173005,-15.963749416735155,-15.724156128826998,15.963749416735155,15.724156128826998,-44.09875529484849,-43.43689538349999
152.5,0.0821917808219178,12.575,3.7772623915125187,3.822350066422643,-8.79773760848748,-8.752649933577356,8.79773760848748,8.752649933577356,-69.96212809930402,-69.60357800061516
140.0,0.1452054794520547,25.025,10.631813731365071,10.993480470444172,-14.393186268634928,-14.031519529555826,14.393186268634928,14.031519529555826,-57.515229844695014,-56.07000811011319
120.0,0.1342465753424657,38.075,19.366210122884993,20.015098357119584,-18.70878987711501,-18.05990164288042,18.70878987711501,18.05990164288042,-49.13667728723574,-47.4324402964686
155.0,0.1342465753424657,14.175,5.82249873387898,5.959226480055349,-8.35250126612102,-8.215773519944651,8.35250126612102,8.215773519944651,-58.92417118956628,-57.95960155163775
128.0,0.1041095890410958,13.4,13.429033523366087,13.653017172527512,0.029033523366086555,0.2530171725275121,0.029033523366086555,0.2530171725275121,0.21666808482154143,1.888187854682926
135.0,0.1178082191780822,12.4,11.070742959237535,11.304999394505703,-1.3292570407624655,-1.0950006054942971,1.3292570407624655,1.0950006054942971,-10.719814844858593,-8.830650044308848
125.0,0.1589041095890411,35.4,17.79690305137983,18.65833306471486,-17.60309694862017,-16.74166693528514,17.60309694862017,16.74166693528514,-49.72626256672365,-47.29284444995802
135.0,0.0876712328767123,13.775,9.259762446143213,9.356756888595392,-4.515237553856787,-4.418243111404609,4.515237553856787,4.418243111404609,-32.77849403888774,-32.07436015538735
140.0,0.1424657534246575,23.775,10.4932383670087,10.833589796660192,-13.281761632991298,-12.941410203339807,13.281761632991298,12.941410203339807,-55.86440224181408,-54.43285048723367
150.0,0.1424657534246575,17.549999999999997,7.417236907051347,7.631150354216595,-10.13276309294865,-9.918849645783403,10.13276309294865,9.918849645783403,-57.736541840163255,-56.51766179933564
125.0,0.0821917808219178,29.0,13.659398510867149,13.789603876103868,-15.340601489132851,-15.210396123896132,15.340601489132851,15.210396123896132,-52.89862582459604,-52.44964180653838
155.0,0.1424657534246575,14.875,6.195720632527788,6.363668524042717,-8.679279367472212,-8.511331475957283,8.679279367472212,8.511331475957283,-58.348096588048485,-57.21903513248593
